obs_time_utc,city,lat,lon,temp_c,feels_like_c,humidity_pct,pressure_hpa,wind_speed_ms,wind_deg,clouds_pct,weather_main,weather_desc
2025-08-15T22:30:00.0000000,Pune,18.5204,73.8567,22.2,24.7,94,1004,13.5,261,100,Cloudy,Overcast
2025-08-15T23:30:00.0000000,Pune,18.5204,73.8567,22.3,24.8,93,1004.1,12.6,261,100,Cloudy,Overcast
2025-08-16T00:30:00.0000000,Pune,18.5204,73.8567,22.9,26.1,94,1003.8,11.4,273,100,Drizzle,Light drizzle
2025-08-16T01:30:00.0000000,Pune,18.5204,73.8567,23,26,93,1004.1,12.8,270,100,Drizzle,Light drizzle
2025-08-16T02:30:00.0000000,Pune,18.5204,73.8567,23.7,26.8,91,1005,13.3,272,100,Drizzle,Light drizzle
2025-08-16T03:30:00.0000000,Pune,18.5204,73.8567,24,26.7,88,1005,14.9,262,100,Cloudy,Overcast
2025-08-16T04:30:00.0000000,Pune,18.5204,73.8567,25,27.6,83,1004.9,15.7,261,100,Cloudy,Overcast
2025-08-16T05:30:00.0000000,Pune,18.5204,73.8567,25.9,28.4,78,1004.5,15.7,266,100,Drizzle,Light drizzle
2025-08-16T06:30:00.0000000,Pune,18.5204,73.8567,27,30.5,73,1003.8,14.6,266,100,Cloudy,Overcast
2025-08-16T07:30:00.0000000,Pune,18.5204,73.8567,26.8,28.9,68,1003.1,15.8,262,100,Drizzle,Moderate drizzle
2025-08-16T08:30:00.0000000,Pune,18.5204,73.8567,25.3,27.9,79,1002.7,13.4,262,100,Drizzle,Light drizzle
2025-08-16T09:30:00.0000000,Pune,18.5204,73.8567,24.7,27.5,82,1002.4,12.4,253,100,Drizzle,Moderate drizzle
2025-08-16T10:30:00.0000000,Pune,18.5204,73.8567,24.1,26.4,84,1001.8,15,265,100,Drizzle,Dense drizzle
2025-08-16T11:30:00.0000000,Pune,18.5204,73.8567,23.8,26.1,89,1001.5,17.2,259,100,Drizzle,Moderate drizzle
2025-08-16T12:30:00.0000000,Pune,18.5204,73.8567,23.1,25.6,90,1003,14.2,261,100,Drizzle,Light drizzle
2025-08-16T13:30:00.0000000,Pune,18.5204,73.8567,22.8,25.4,92,1003.3,14.3,264,100,Drizzle,Light drizzle
2025-08-16T14:30:00.0000000,Pune,18.5204,73.8567,22.7,25.5,93,1003.9,12.2,261,100,Drizzle,Light drizzle
